epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,630.765,2.17906,2.46046,2.05007,0.00053,0.16031,0.00011,3e-05,2.72266,7369.1,14.6038,0.00329317,0.00329317,0.0703614
2,1807.23,2.12464,2.0237,2.09765,0.00222,0.55725,0.00142,0.00045,2.49611,5819.83,2.76366,0.00662538,0.00662538,0.0403603
3,3170.74,2.06736,1.96405,2.0861,0.04932,0.25191,0.03392,0.00932,2.49951,31.1236,2.62001,0.00995308,0.00995308,0.0103547
4,4518.08,1.99787,1.86895,2.04257,0.01633,0.41985,0.01162,0.00431,2.3609,102.018,2.25522,0.00998474,0.00998474,0.00998474
5,5384.76,1.95253,1.77668,2.0078,0.65293,0.4771,0.5022,0.17069,2.30156,4.19885,2.10797,0.00997288,0.00997288,0.00997288
6,5790.03,1.91115,1.71178,1.97182,0.35404,0.35878,0.26084,0.10919,1.99423,5.89248,2.00407,0.00995765,0.00995765,0.00995765
7,6194.47,1.87726,1.62066,1.91848,0.66413,0.4313,0.52908,0.20075,2.1896,2.38055,2.06089,0.00993906,0.00993906,0.00993906
8,6600.11,1.83788,1.57785,1.89486,0.58616,0.54198,0.5204,0.20068,2.06069,2.46787,1.91697,0.00991711,0.00991711,0.00991711
9,7009.05,1.82953,1.53453,1.85913,0.46682,0.39313,0.32272,0.11654,2.10414,2.80692,1.99625,0.00989183,0.00989183,0.00989183
10,7416.84,1.81531,1.42994,1.84461,0.67651,0.6374,0.63079,0.2604,1.99591,1.96771,1.9017,0.00986323,0.00986323,0.00986323
11,7824.62,1.78721,1.43076,1.81346,0.66804,0.54198,0.58487,0.21378,2.11493,2.74954,1.97004,0.00983133,0.00983133,0.00983133
12,8232.65,1.75703,1.38039,1.80564,0.84692,0.65462,0.7399,0.30452,2.04828,1.55116,1.90445,0.00979616,0.00979616,0.00979616
13,8640.32,1.76712,1.35914,1.79825,0.70598,0.59924,0.61367,0.23908,2.00258,1.88622,1.92512,0.00975773,0.00975773,0.00975773
14,9047.95,1.7508,1.37289,1.80153,0.22794,0.53817,0.17878,0.06344,2.09418,3.3628,1.9255,0.00971608,0.00971608,0.00971608
15,9550.11,1.7699,1.36505,1.78643,0.75335,0.61786,0.67362,0.27279,2.00599,1.98049,1.86701,0.00967122,0.00967122,0.00967122
16,10887,1.75195,1.29709,1.79037,0.86025,0.64885,0.75617,0.31995,2.01806,1.4382,1.81056,0.0096232,0.0096232,0.0096232
17,11636,1.72301,1.24744,1.74457,0.72964,0.63864,0.64959,0.27566,1.92833,1.4839,1.7779,0.00957205,0.00957205,0.00957205
18,12070.7,1.71449,1.25238,1.76699,0.77378,0.69195,0.74024,0.31538,1.93097,1.38071,1.81913,0.0095178,0.0095178,0.0095178
19,12509.8,1.69357,1.22955,1.75122,0.79277,0.74427,0.79088,0.30808,1.99591,1.41314,1.83388,0.00946048,0.00946048,0.00946048
20,13566.8,1.7281,1.2553,1.77383,0.75098,0.69847,0.70608,0.25657,2.16736,1.52478,1.97818,0.00940014,0.00940014,0.00940014
21,14599.8,1.70673,1.22984,1.77104,0.79402,0.70623,0.76217,0.27831,2.07315,1.42727,1.90924,0.00933683,0.00933683,0.00933683
22,15004.2,1.70302,1.18513,1.73066,0.8162,0.72519,0.80484,0.31444,1.96234,1.43486,1.81469,0.00927057,0.00927057,0.00927057
23,15414.5,1.68037,1.18106,1.72542,0.73855,0.68702,0.72396,0.2864,1.98376,1.51513,1.81096,0.00920142,0.00920142,0.00920142
24,15850.2,1.69402,1.18428,1.72863,0.86034,0.73282,0.82772,0.36379,1.96372,1.20045,1.80825,0.00912942,0.00912942,0.00912942
25,16278.6,1.6789,1.17506,1.72413,0.81467,0.74046,0.76923,0.29329,2.0281,1.32693,1.87701,0.00905463,0.00905463,0.00905463
26,16707.6,1.66811,1.17099,1.71806,0.84127,0.68321,0.78968,0.311,1.93733,1.39504,1.80047,0.0089771,0.0089771,0.0089771
27,17995.9,1.66793,1.16385,1.7072,0.80513,0.70611,0.77071,0.29881,2.01458,1.33194,1.8029,0.00889687,0.00889687,0.00889687
28,19343.7,1.67274,1.10602,1.71137,0.89233,0.75573,0.83403,0.31951,2.03122,1.2304,1.82301,0.00881401,0.00881401,0.00881401
29,20694.5,1.67849,1.10209,1.70142,0.81638,0.75573,0.77245,0.28336,1.99148,1.33783,1.85871,0.00872857,0.00872857,0.00872857
30,22044.7,1.68529,1.11319,1.70871,0.86698,0.74631,0.81984,0.31543,1.98502,1.45701,1.80278,0.0086406,0.0086406,0.0086406
31,23400.8,1.64164,1.10949,1.69376,0.82333,0.71148,0.75655,0.3105,2.0172,1.27416,1.82997,0.00855018,0.00855018,0.00855018
32,24738.6,1.63975,1.06852,1.69247,0.80696,0.76583,0.78036,0.32408,1.98743,1.28858,1.82025,0.00845736,0.00845736,0.00845736
33,26070.5,1.6291,1.07777,1.67249,0.88932,0.75191,0.84042,0.35974,1.91008,1.25964,1.76299,0.0083622,0.0083622,0.0083622
34,27398.9,1.67591,1.074,1.71078,0.84892,0.79353,0.83454,0.34639,1.97204,1.17341,1.81407,0.00826477,0.00826477,0.00826477
35,28731.1,1.61523,1.04794,1.66409,0.76584,0.71756,0.73544,0.30541,1.95251,1.45194,1.81089,0.00816514,0.00816514,0.00816514
36,30060.3,1.64979,1.03311,1.69098,0.82102,0.68321,0.78955,0.30875,1.99995,1.33059,1.87646,0.00806337,0.00806337,0.00806337
37,31392.7,1.63545,1.03532,1.68832,0.84176,0.77154,0.85228,0.34548,1.98773,1.23641,1.839,0.00795954,0.00795954,0.00795954
38,32724.6,1.61929,1.03381,1.67802,0.85603,0.77158,0.86029,0.36196,1.93884,1.21313,1.78988,0.00785371,0.00785371,0.00785371
39,34051.7,1.63699,1.02096,1.68619,0.90124,0.80109,0.86142,0.33255,1.9966,1.14768,1.82384,0.00774596,0.00774596,0.00774596
40,35380.2,1.63191,1.02129,1.66261,0.83217,0.79389,0.82386,0.33847,1.9076,1.23295,1.78802,0.00763637,0.00763637,0.00763637
41,36714.8,1.62814,1.02325,1.66116,0.75967,0.75954,0.76918,0.32056,1.9212,1.19749,1.79486,0.007525,0.007525,0.007525
42,38046.1,1.62168,0.98531,1.66958,0.87612,0.73664,0.83094,0.33715,2.00545,1.16249,1.84294,0.00741194,0.00741194,0.00741194
43,39379.9,1.61189,0.98533,1.67067,0.90465,0.79008,0.87274,0.38527,1.93795,1.07314,1.78235,0.00729725,0.00729725,0.00729725
44,40710.5,1.5891,0.9721,1.6282,0.91306,0.80172,0.8652,0.39242,1.92517,1.04022,1.773,0.00718103,0.00718103,0.00718103
45,42044.5,1.60157,0.95293,1.65237,0.84918,0.73069,0.81772,0.34132,1.90656,1.27615,1.79956,0.00706335,0.00706335,0.00706335
46,43376.1,1.60209,0.96989,1.63918,0.90111,0.80534,0.89022,0.37885,1.90821,1.04465,1.76318,0.00694428,0.00694428,0.00694428
47,44707.8,1.60376,0.95581,1.65494,0.84827,0.81679,0.83387,0.33214,1.95882,1.11566,1.81834,0.00682392,0.00682392,0.00682392
